network,station,location,channel,CalBlockette,start,end,filename
IU,HKT,00,BH1,310,2018-032 19:14:00,2018-032 19:54:00,/msd/IU_HKT/2018/032/00_BH1.512.seed
IU,HKT,00,BH2,310,2018-032 19:14:00,2018-032 19:54:00,/msd/IU_HKT/2018/032/00_BH2.512.seed
IU,HKT,00,BHZ,310,2018-032 19:14:00,2018-032 19:54:00,/msd/IU_HKT/2018/032/00_BHZ.512.seed
IU,NWAO,00,BH1,310,2018-032 19:06:01,2018-032 19:07:01,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,310,2018-032 19:31:01,2018-032 19:32:01,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,320,2018-032 20:16:00,2018-032 20:31:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,310,2018-032 21:02:00,2018-032 21:42:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,310,2018-032 21:55:00,2018-032 22:35:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,310,2018-032 22:48:00,2018-032 22:58:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,310,2018-032 23:11:00,2018-032 23:21:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,00,BH1,300,2018-032 23:44:00,2018-032 23:59:00,/msd/IU_NWAO/2018/032/00_BH1.512.seed
IU,NWAO,10,BH1,310,2018-032 18:55:03,2018-032 18:56:03,/msd/IU_NWAO/2018/032/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-032 18:57:17,2018-032 18:58:17,/msd/IU_NWAO/2018/032/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-032 19:05:01,2018-032 19:06:01,/msd/IU_NWAO/2018/032/10_BH1.512.seed
IU,NWAO,10,BH1,310,2018-032 19:29:01,2018-032 19:30:01,/msd/IU_NWAO/2018/032/10_BH1.512.seed
IU,NWAO,10,BH1,320,2018-032 19:42:00,2018-032 19:57:00,/msd/IU_NWAO/2018/032/10_BH1.512.seed
IU,NWAO,00,BH2,310,2018-032 19:06:01,2018-032 19:07:01,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,310,2018-032 19:31:01,2018-032 19:32:01,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,320,2018-032 20:16:00,2018-032 20:31:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,310,2018-032 21:02:00,2018-032 21:42:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,310,2018-032 21:55:00,2018-032 22:35:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,310,2018-032 22:48:00,2018-032 22:58:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,310,2018-032 23:11:00,2018-032 23:21:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,00,BH2,300,2018-032 23:44:00,2018-032 23:59:00,/msd/IU_NWAO/2018/032/00_BH2.512.seed
IU,NWAO,10,BH2,310,2018-032 18:55:03,2018-032 18:56:03,/msd/IU_NWAO/2018/032/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-032 18:57:17,2018-032 18:58:17,/msd/IU_NWAO/2018/032/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-032 19:05:01,2018-032 19:06:01,/msd/IU_NWAO/2018/032/10_BH2.512.seed
IU,NWAO,10,BH2,310,2018-032 19:29:01,2018-032 19:30:01,/msd/IU_NWAO/2018/032/10_BH2.512.seed
IU,NWAO,10,BH2,320,2018-032 19:42:00,2018-032 19:57:00,/msd/IU_NWAO/2018/032/10_BH2.512.seed
IU,NWAO,00,BHZ,310,2018-032 19:06:01,2018-032 19:07:01,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,310,2018-032 19:31:01,2018-032 19:32:01,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,320,2018-032 20:16:00,2018-032 20:31:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,310,2018-032 21:02:00,2018-032 21:42:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,310,2018-032 21:55:00,2018-032 22:35:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,310,2018-032 22:48:00,2018-032 22:58:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,310,2018-032 23:11:00,2018-032 23:21:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,00,BHZ,300,2018-032 23:44:00,2018-032 23:59:00,/msd/IU_NWAO/2018/032/00_BHZ.512.seed
IU,NWAO,10,BHZ,310,2018-032 18:55:03,2018-032 18:56:03,/msd/IU_NWAO/2018/032/10_BHZ.512.seed
