network,station,location,channel,CalBlockette,start,end,filename
IU,TUC,00,BHZ,320,2018-004 23:57:00,2018-005 00:12:00,/msd/IU_TUC/2018/004/00_BHZ.512.seed
IU,TUC,10,BHZ,320,2018-004 22:05:00,2018-004 22:20:00,/msd/IU_TUC/2018/004/10_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 20:21:00,2018-004 20:36:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 20:38:00,2018-004 20:53:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 22:59:00,2018-004 23:14:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,00,EHZ,320,2018-004 23:57:00,2018-005 00:12:00,/msd/IU_TUC/2018/004/00_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-004 22:05:00,2018-004 22:20:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 06:50:00,2018-006 07:30:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 07:43:00,2018-006 08:23:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 08:36:00,2018-006 08:46:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 08:59:00,2018-006 09:09:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,300,2018-006 09:32:00,2018-006 09:47:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-006 10:15:00,2018-006 14:15:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-006 14:15:15,2018-006 18:15:15,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 20:21:00,2018-004 20:36:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 20:38:00,2018-004 20:53:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 22:59:00,2018-004 23:14:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 18:33:00,2018-006 19:13:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 19:26:00,2018-006 20:06:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 20:19:00,2018-006 20:29:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 20:42:00,2018-006 20:52:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,300,2018-006 21:15:00,2018-006 21:30:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-006 21:58:00,2018-007 01:58:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-007 01:58:21,2018-007 05:58:21,/msd/IU_TUC/2018/004/60_EHZ.512.seed
US,MNTX,00,BHZ,320,2018-004 17:06:00,2018-004 17:21:00,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 18:57:01,2018-004 18:58:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:01:01,2018-004 19:02:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:40:05,2018-004 19:41:05,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:43:01,2018-004 19:44:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,EHZ,320,2018-004 17:06:00,2018-004 17:21:00,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 18:57:01,2018-004 18:58:01,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 19:01:01,2018-004 19:02:01,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 19:40:05,2018-004 19:41:05,/msd/US_MNTX/2018/004/00_EHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 19:07:00,2018-005 19:47:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 20:00:00,2018-005 20:40:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 20:53:00,2018-005 21:03:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 21:16:00,2018-005 21:26:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
